,id,title,author,chapter_count,word_count,date_published,date_updated,rated,status,language,genre,characters,reviews,Adventure,Angst,Crime,Drama,Family,Fantasy,Friendship,General,Horror,Humor,Hurt/Comfort,Mystery,Parody,Poetry,Romance,Sci-Fi,Spiritual,Supernatural,Suspense,Tragedy,Aegon T.,Aemon T.,Alliser T.,Arya S.,Barristan S.,Benjen S.,Bran S.,Brienne of Tarth,Bronn,Brynden T./Brynden the Blackfish,Catelyn S.,Cersei L.,Daario N.,Daenerys T.,Davos S.,Direwolves,Doreah,Dragons,Eddard S.,Edmure T.,Elia M.,Ellaria S.,G. M. Pycelle,Gendry W.,Gregor C.,Grey Worm,Hodor,Hot Pie,Illyrio M.,Irri,Jaime L.,Jaqen H.,Jeor M.,Joffrey B.,Jojen R.,Jon A.,Jon S.,Jorah M.,Jory C.,Karl T.,Khal Drogo,Lancel L.,Locke,Loras T.,Ludd W.,Lyanna S.,Lysa A.,M. Luwin,Mance R.,Margaery T.,Meera R.,Melisandre,Missandei,Myranda,Myrcella B.,Nymeria S.,OC,Obara S.,Oberyn M.,Old Nan,Osha,Petyr B.,Ramsay B.,Renly B.,Rhaegar T.,Rhaenys T.,Rickon S.,Robb S.,Robert A.,Robert B.,Rodrick F.,Rodrik C.,Roose B.,Royland D.,Ryon F.,S. Mordane,Samwell T.,Sandor C.,Sansa S.,Shae,Shireen B.,Stannis B.,Syrio F.,Talia F.,Talisa M.,Theon G.,Tommen B.,Tormund G.,Tyene S.,Tyrion L.,Tywin L.,Varys,Viserion T.,Viserys T.,Yara G.,Ygritte,the three eyed raven
20,11994020,Hell Hath No Fury,Little-Miss-Chloe,17,103259,2016-06-12,2017-03-20,M,False,English,Romance/Drama,,53,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,12407929,The War for the Dawn,NoMercyMercer,2,7688,2017-03-17,2017-03-20,M,False,English,Romance,"Daenerys T., Jon S.",21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,11732296,The Young Stag,kornerbrandon,17,39142,2016-01-14,2017-03-20,M,False,English,Fantasy/Romance,"[Arya S., OC] Robb S., Stannis B.",245,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,12397399,In Fire & Blood,Devon-Goes-to-Heaven,2,4798,2017-03-09,2017-03-20,T,False,English,Adventure/Drama,"[Jon S., Sansa S.] Cersei L., Joffrey B.",5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,12286372,Dancing for You,Catherina1996,30,96779,2016-12-23,2017-03-20,M,False,English,Romance/Drama,"[Sansa S., Jaime L.] [Tyrion L., Margaery T.]",80,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,12412072,A Song of Stags and Lions,Hail-King-Cerion,1,3100,2017-03-20,,M,False,English,Family,,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,12388763,TIME LAPSE,T20e,9,12269,2017-03-02,2017-03-19,M,False,English,Fantasy/Adventure,"Jon S., Lyanna S., Rhaegar T.",9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,12411742,"The Beauty, the Wolf, and the Wall",Glass-Shoe,1,9815,2017-03-19,,M,False,English,Drama,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,12411651,Game of Thrones: The Heart Wants What It Wants,Amara-Lightskipper,1,4548,2017-03-19,,M,False,English,Romance/Friendship,"Robb S., Arya S., Bran S., Meera R.",0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,12355697,Il faut abbattre la Montagne,RageAgainstTheGhosts,5,8015,2017-02-07,2017-03-19,M,False,French,Fantasy,,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,12388427,Sue̱os de primavera,JonxSansaRealNoFake,2,6174,2017-03-02,2017-03-19,K+,False,Spanish,Hurt/Comfort/Drama,,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,11715479,The North Volantis Alliance,KING-IN-THE-N0RTH,21,85040,2016-01-05,2017-03-19,T,False,English,,"[Robb S., Talisa M.] Theon G., OC",147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
32,12025264,The Lone Wolf of House Lannister,Missjillyv1991,32,111511,2016-06-30,2017-03-19,M,False,English,Drama/Romance,"[Jaime L., OC] Tywin L., Oberyn M.",51,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
33,12369836,When Winter Falls Death Follows,TheStarBucksQueen,3,14024,2017-02-17,2017-03-19,M,False,English,Romance/Family,"[Robb S., OC, Jon S.]",21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
